EventType,EventDate,City,State,Country,HasSafetyRec,ReportType,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,X,Year,Month,Day,Hour,CauseCategory
ACC,2024-11-27T19:30:00Z,Mineola,Texas,United States,FALSE,DirectorBrief,Fatal,2,0,0,32.61231,-95.537738,Cozy,MK III,AIR,NA,TRUE,1,PERS,91,Destroyed,VMC,NA,In work,NA,2024,November,27,0,Other
ACC,2024-11-27T14:19:00Z,Ocean Isle Beach,North Carolina,United States,FALSE,DirectorBrief,Serious,0,1,0,33.90932,-78.434686,ALEXANDER S ROLINSKI,BOT JOURNEY,AIR,60J,FALSE,1,FLTS,91,Substantial,VMC,NA,In work,NA,2024,November,27,0,Other
ACC,2024-11-27T01:08:00Z,Muskogee,Oklahoma,United States,FALSE,DirectorBrief,Serious,0,1,5,35.667484,-95.375133,CESSNA,340,AIR,MKO,FALSE,2,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,27,0,Other
ACC,2024-11-26T18:41:00Z,Mesa,Arizona,United States,FALSE,DirectorBrief,None,0,0,0,33.458088,-111.73085,CIRRUS DESIGN CORP,SF50,AIR,FFZ,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,26,0,Other
ACC,2024-11-25T19:22:00Z,Boston,Massachusetts,United States,FALSE,DirectorBrief,None,0,0,0,0,0,COSTRUZIONI AERONAUTICHE TECNA,P2012 TRAVELLER,NA,NA,FALSE,NA,NA,135,NA,VMC,NA,In work,NA,2024,November,25,0,Other
ACC,2024-11-25T18:36:00Z,Mason,Michigan,United States,FALSE,DirectorBrief,None,0,0,0,42.565768,-84.423206,CESSNA,140,AIR,TEW,FALSE,1,INST,91,Substantial,VMC,GREAT LAKES AIR VENTURES LLC,Completed,NA,2024,November,25,0,Pilot Error
ACC,2024-11-25T14:55:00Z,Fullerton,California,United States,FALSE,DirectorBrief,Serious,0,2,0,33.872556,-117.97136,MOONEY,M20F,AIR,FUL,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,25,0,Other
ACC,2024-11-24T19:09:00Z,Windham,New York,United States,FALSE,DirectorBrief,Fatal,1,0,0,42.30798,-74.1499,MOONEY,M20J,AIR,NA,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,24,0,Other
ACC,2024-11-24T17:30:00Z,Gillette,Wyoming,United States,FALSE,DirectorBrief,Minor,0,0,2,44.348908,-105.53936,PIPER,PA-28R-200,AIR,GCC,FALSE,1,PERS,91,Substantial,VMC,GIZZY LLC,In work,NA,2024,November,24,0,Other
ACC,2024-11-24T06:33:00Z,Camdenton,Missouri,United States,FALSE,DirectorBrief,Serious,0,1,0,37.983625,-92.696753,PIPER,PA-28-140,AIR,OZS,FALSE,1,PERS,91,Substantial,VMC,NA,Completed,NA,2024,November,24,0,Pilot Error
ACC,2024-11-23T15:40:00Z,Lewistown,Montana,United States,FALSE,DirectorBrief,None,0,0,0,46.750125,-108.88004,CESSNA,A185F,AIR,NA,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,23,0,Other
